siRNA,mRNA,efficacy
Huesken_A1523,NM_003342,0.748
Huesken_A1524,NM_003342,0.947
Huesken_A1525,NM_003342,0.85
Huesken_A1526,NM_003342,0.731
Huesken_A1527,NM_003342,0.734
Huesken_A1528,NM_003342,0.734
Huesken_A1529,NM_003342,0.501
Huesken_A1530,NM_003342,0.616
Huesken_A1531,NM_003342,0.696
Huesken_A1532,NM_003342,0.879
Huesken_A1533,NM_003342,0.395
Huesken_A1534,NM_003342,0.624
Huesken_A1535,NM_003342,0.847
Huesken_A1536,NM_003342,0.842
Huesken_A1537,NM_003342,0.66
Huesken_A1538,NM_003342,0.787
Huesken_A1539,NM_003342,0.752
Huesken_A1540,NM_003342,0.361
Huesken_A1541,NM_003342,0.447
Huesken_A1542,NM_003342,0.876
Huesken_A1543,NM_003342,0.71
Huesken_A1544,NM_003342,0.931
Huesken_A1545,NM_003342,0.683
Huesken_A1546,NM_003342,0.677
Huesken_A1547,NM_003342,0.867
Huesken_A1548,NM_003342,1.0
Huesken_A1549,NM_003342,0.405
Huesken_A1550,NM_003342,0.975
Huesken_A1551,NM_003342,0.606
Huesken_A1552,NM_003342,0.517
Huesken_A1553,NM_003342,0.833
Huesken_A1554,NM_003342,0.654
Huesken_A1555,NM_006357,0.552
Huesken_A1556,NM_006357,0.78
Huesken_A1557,NM_006357,0.769
Huesken_A1558,NM_006357,0.888
Huesken_A1559,NM_006357,0.871
Huesken_A1560,NM_006357,0.909
Huesken_A1561,NM_006357,0.887
Huesken_A1562,NM_006357,0.598
Huesken_A1563,NM_006357,0.758
Huesken_A1564,NM_006357,0.563
Huesken_A1565,NM_006357,0.711
Huesken_A1566,NM_006357,0.503
Huesken_A1567,NM_006357,0.478
Huesken_A1568,NM_006357,0.452
Huesken_A1569,NM_006357,0.86
Huesken_A1570,NM_006357,0.734
Huesken_A1571,NM_006357,0.948
Huesken_A1572,NM_006357,0.924
Huesken_A1573,NM_006357,0.343
Huesken_A1574,NM_006357,0.567
Huesken_A1575,NM_006357,0.692
Huesken_A1576,NM_006357,0.72
Huesken_A1577,NM_006357,0.438
Huesken_A1578,NM_006357,0.589
Huesken_A1579,NM_006357,0.438
Huesken_A1580,NM_006357,0.756
Huesken_A1581,NM_006357,0.49
Huesken_A1582,NM_006357,0.834
Huesken_A1583,NM_006357,0.585
Huesken_A1584,NM_006357,0.747
Huesken_A1585,NM_006357,0.705
Huesken_A1586,NM_006357,0.699
Huesken_A1587,NM_006357,0.661
Huesken_A1588,NM_006357,0.697
Huesken_A1589,NM_006357,0.734
Huesken_A1590,NM_006357,0.425
Huesken_A1591,NM_006357,0.492
Huesken_A1592,NM_006357,0.914
Huesken_A1593,NM_006357,0.507
Huesken_A1594,NM_006357,0.588
Huesken_A1595,NM_006357,0.642
Huesken_A1596,NM_006357,0.287
Huesken_A1597,NM_006357,0.382
Huesken_A1598,NM_006357,0.576
Huesken_A1599,NM_006357,0.688
Huesken_A1600,NM_006357,0.501
Huesken_A1601,NM_006357,0.368
Huesken_A1602,NM_006357,0.684
Huesken_A1603,NM_006357,0.595
Huesken_A1604,NM_006357,0.528
Huesken_A1605,NM_006357,0.905
Huesken_A1606,NM_006357,0.758
Huesken_A1607,NM_006357,0.52
Huesken_A1608,NM_006357,0.672
Huesken_A1609,NM_006357,0.732
Huesken_A1610,NM_006357,0.473
Huesken_A1611,NM_006357,0.511
Huesken_A1612,NM_006357,0.343
Huesken_A1613,NM_006357,0.626
Huesken_A1614,NM_006357,0.816
Huesken_A1615,NM_006357,0.82
Huesken_A1616,NM_006357,0.805
Huesken_A1617,NM_006357,0.885
Huesken_A1618,NM_006357,0.874
Huesken_A1619,NM_006357,0.423
Huesken_A1620,NM_006357,0.712
Huesken_A1621,NM_006357,0.815
Huesken_A1622,NM_006357,0.828
Huesken_A1623,NM_006357,0.359
Huesken_A1624,NM_006357,0.524
Huesken_A1625,NM_006357,0.698
Huesken_A1626,NM_006357,0.842
Huesken_A1627,NM_006357,0.901
Huesken_A1628,NM_006357,0.321
Huesken_A1629,NM_006357,0.893
Huesken_A1630,NM_006357,0.89
Huesken_A1631,NM_006357,0.692
Huesken_A1632,NM_006357,0.547
Huesken_A1633,NM_006357,0.53
Huesken_A1634,NM_021988,0.552
Huesken_A1635,NM_021988,0.466
Huesken_A1636,NM_021988,0.753
Huesken_A1637,NM_021988,0.951
Huesken_A1638,NM_021988,0.945
Huesken_A1639,NM_021988,0.788
Huesken_A1640,NM_021988,0.841
Huesken_A1641,NM_021988,0.826
Huesken_A1642,NM_021988,0.519
Huesken_A1643,NM_021988,0.715
Huesken_A1644,NM_021988,0.898
Huesken_A1645,NM_021988,0.47
Huesken_A1646,NM_021988,0.777
Huesken_A1647,NM_021988,0.49
Huesken_A1648,NM_021988,0.7
Huesken_A1649,NM_021988,0.9
Huesken_A1650,NM_021988,0.82
Huesken_A1651,NM_021988,0.897
Huesken_A1652,NM_021988,0.63
Huesken_A1653,NM_021988,0.714
Huesken_A1654,NM_021988,0.875
Huesken_A1655,NM_021988,0.921
Huesken_A1656,NM_021988,0.909
Huesken_A1657,NM_021988,0.903
Huesken_A1658,NM_021988,0.844
Huesken_A1659,NM_021988,0.841
Huesken_A1660,NM_021988,0.835
Huesken_A1661,NM_021988,0.568
Huesken_A1662,NM_021988,0.638
Huesken_A1663,NM_021988,0.388
Huesken_A1664,NM_021988,0.829
Huesken_A1665,NM_021988,0.894
Huesken_A1666,NM_021988,0.961
Huesken_A1667,NM_021988,0.631
Huesken_A1668,NM_021988,0.765
Huesken_A1669,NM_021988,0.571
Huesken_A1670,NM_021988,0.705
Huesken_A1671,NM_021988,0.9
Huesken_A1672,NM_021988,0.527
Huesken_A1673,NM_021988,0.95
Huesken_A1674,NM_021988,0.888
Huesken_A1675,NM_021988,0.58
Huesken_A1676,NM_021988,0.92
Huesken_A1677,NM_021988,0.963
Huesken_A1678,NM_021988,0.388
Huesken_A1679,NM_021988,0.73
Huesken_A1680,NM_021988,0.828
Huesken_A1681,NM_021988,0.609
Huesken_A1682,NM_021988,0.888
Huesken_A1683,NM_021988,0.923
Huesken_A1684,NM_021988,0.586
Huesken_A1685,NM_021988,0.861
Huesken_A1686,NM_021988,0.538
Huesken_A1687,NM_021988,0.599
Huesken_A1688,NM_021988,0.523
Huesken_A1689,NM_021988,0.953
Huesken_A1690,NM_021988,0.856
Huesken_A1691,NM_021988,0.845
Huesken_A1692,NM_021988,0.96
Huesken_A1693,NM_021988,0.91
Huesken_A1694,NM_021988,0.887
Huesken_A1695,NM_021988,0.656
Huesken_A1696,NM_021988,0.814
Huesken_A1697,NM_021988,0.95
Huesken_A1698,NM_021988,0.458
Huesken_A1699,NM_021988,0.837
Huesken_A1700,NM_021988,0.96
Huesken_A1701,NM_021988,0.365
Huesken_A1702,NM_021988,0.494
Huesken_A1703,NM_021988,0.43
Huesken_A1704,NM_021988,0.535
Huesken_A1705,NM_021988,0.714
Huesken_A1706,NM_021988,0.78
Huesken_A1707,NM_021988,0.623
Huesken_A1708,NM_022005,0.858
Huesken_A1709,NM_022005,0.954
Huesken_A1710,NM_022005,0.904
Huesken_A1711,NM_022005,0.728
Huesken_A1712,NM_022005,0.953
Huesken_A1713,NM_022005,0.928
Huesken_A1714,NM_022005,0.943
Huesken_A1715,NM_022005,0.859
Huesken_A1716,NM_022005,0.915
Huesken_A1717,NM_022005,0.936
Huesken_A1718,NM_022005,0.706
Huesken_A1719,NM_022005,0.725
Huesken_A1720,NM_022005,0.855
Huesken_A1721,NM_022005,0.435
Huesken_A1722,NM_022005,0.619
Huesken_A1723,NM_022005,0.662
Huesken_A1724,NM_022005,0.725
Huesken_A1725,NM_022005,0.422
Huesken_A1726,NM_022005,0.556
Huesken_A1727,NM_022005,0.86
Huesken_A1728,NM_022005,0.817
Huesken_A1729,NM_022005,0.402
Huesken_A1730,NM_022005,0.467
Huesken_A1731,NM_022005,0.623
Huesken_A1732,NM_022005,0.458
Huesken_A1733,NM_022005,0.765
Huesken_A1734,NM_022005,0.715
Huesken_A1735,NM_022005,0.456
Huesken_A1736,NM_022005,0.677
Huesken_A1737,NM_022005,0.444
Huesken_A1738,NM_022005,0.507
Huesken_A1739,NM_022005,0.812
Huesken_A1740,NM_022005,0.329
Huesken_A1741,NM_022005,0.679
Huesken_A1742,NM_022005,0.857
Huesken_A1743,NM_022005,0.737
Huesken_A1744,NM_022005,0.358
Huesken_A1745,NM_022005,0.93
Huesken_A1746,NM_022005,0.907
Huesken_A1747,NM_022005,0.708
Huesken_A1748,NM_022005,0.598
Huesken_A1749,NM_022005,0.845
Huesken_A1750,NM_022005,0.865
Huesken_A1751,NM_022005,0.802
Huesken_A1752,NM_022005,0.488
Huesken_A1753,NM_022005,0.341
Huesken_A1754,NM_022005,0.373
Huesken_A1755,NM_022005,0.486
Huesken_A1756,NM_022005,0.84
Huesken_A1757,NM_022005,0.79
Huesken_A1758,NM_022005,0.9
Huesken_A1759,NM_022005,0.855
Huesken_A1760,NM_022005,0.943
Huesken_A1761,NM_022005,0.552
Huesken_A1762,NM_022005,0.952
Huesken_A1763,NM_022005,0.854
Huesken_A1764,NM_022005,0.949
Huesken_A1765,NM_022005,0.634
Huesken_A1766,NM_022005,0.767
Huesken_A1767,NM_022005,0.908
Huesken_A1768,NM_022005,0.814
Huesken_A1769,NM_022005,0.875
Huesken_A1770,NM_022005,0.858
Huesken_A1771,NM_022005,0.584
Huesken_A1772,NM_022005,0.579
Huesken_A1773,NM_022005,0.968
Huesken_A1774,NM_022005,0.89
Huesken_A1775,NM_022005,1.0
Huesken_A1776,NM_022005,0.769
Huesken_A1777,NM_022005,0.667
Huesken_A1778,NM_022005,0.542
Huesken_A1779,NM_022005,0.393
Huesken_A1780,XM_214061,0.913
Huesken_A1781,XM_214061,0.703
Huesken_A1782,XM_214061,0.845
Huesken_A1783,XM_214061,0.857
Huesken_A1784,XM_214061,0.468
Huesken_A1785,XM_214061,0.663
Huesken_A1786,XM_214061,0.791
Huesken_A1787,XM_214061,0.741
Huesken_A1788,XM_214061,0.663
Huesken_A1789,XM_214061,0.486
Huesken_A1790,XM_214061,0.763
Huesken_A1791,XM_214061,0.848
Huesken_A1792,XM_214061,0.555
Huesken_A1793,XM_214061,0.543
Huesken_A1794,XM_214061,0.727
Huesken_A1795,XM_214061,0.848
Huesken_A1796,XM_214061,0.498
Huesken_A1797,XM_214061,0.628
Huesken_A1798,XM_214061,0.52
Huesken_A1799,XM_214061,0.422
Huesken_A1800,XM_214061,0.468
Huesken_A1801,XM_214061,0.992
Huesken_A1802,XM_214061,0.98
Huesken_A1803,XM_214061,1.0
Huesken_A1804,XM_214061,0.547
Huesken_A1805,XM_214061,0.776
Huesken_A1806,XM_214061,0.332
Huesken_A1807,XM_214061,0.6
Huesken_A1808,XM_214061,0.448
Huesken_A1809,XM_214061,0.552
Huesken_A1810,XM_214061,0.887
Huesken_A1811,XM_214061,0.659
Huesken_A1812,XM_214061,0.43
Huesken_A1813,XM_214061,0.508
Huesken_A1814,XM_214061,0.268
Huesken_A1815,XM_214061,0.231
Huesken_A1816,XM_214061,0.327
Huesken_A1817,XM_214061,0.668
Huesken_A1818,XM_214061,0.387
Huesken_A1819,XM_214061,0.476
Huesken_A1820,XM_214061,0.503
Huesken_A1821,XM_214061,0.702
Huesken_A1822,XM_214061,0.699
Huesken_A1823,XM_214061,0.7
Huesken_A1824,XM_214061,0.627
Huesken_A1825,XM_214061,0.353
Huesken_A1826,XM_214061,0.896
Huesken_A1827,XM_214061,1.0
Huesken_A1828,XM_214061,0.667
Huesken_A1829,XM_214061,0.654
Huesken_A1830,XM_214061,0.757
Huesken_A1831,XM_214061,0.701
Huesken_A1832,XM_214061,0.722
Huesken_A1833,XM_214061,0.354
Huesken_A1834,XM_214061,0.337
Huesken_A1835,XM_214061,0.322
Huesken_A1836,XM_214061,0.331
Huesken_A1837,XM_214061,0.724
Huesken_A1838,XM_214061,0.819
Huesken_A1839,XM_214061,0.432
Huesken_A1840,XM_214061,0.488
Huesken_A1841,XM_214061,0.693
Huesken_A1842,XM_214061,0.546
Huesken_A1843,XM_214061,0.797
Huesken_A1844,XM_214061,0.696
Huesken_A1845,XM_214061,0.449
Huesken_A1846,XM_214061,0.197
Huesken_A1847,XM_214061,0.14
Huesken_A1848,XM_214061,0.708
Huesken_A1849,XM_214061,0.662
Huesken_A1850,XM_214061,0.514
Huesken_A1851,XM_214061,0.589
Huesken_A1852,XM_214061,0.356
Huesken_A1853,XM_214061,0.748
Huesken_A1854,XM_214061,0.626
Huesken_A1855,XM_214061,0.765
Huesken_A1856,XM_214061,0.826
Huesken_A1857,XM_214061,0.883
Huesken_A1858,XM_214061,1.0
Huesken_A1859,XM_214061,0.854
Huesken_A1860,XM_214061,0.825
Huesken_A1861,XM_214061,0.862
Huesken_A1862,XM_214061,0.826
Huesken_A1863,XM_214061,0.625
Huesken_A1864,XM_214061,0.856
Huesken_A1865,XM_214061,0.88
Huesken_A1866,XM_214061,0.904
Huesken_A1867,XM_214061,0.933
Huesken_A1868,XM_214061,0.704
Huesken_A1869,XM_214061,0.631
Huesken_A1870,XM_214061,0.618
Huesken_A1871,XM_214061,0.824
Huesken_A1872,XM_214061,0.729
Huesken_A1873,XM_214061,0.791
Huesken_A1874,XM_214061,0.686
Huesken_A1875,XM_214061,0.455
Huesken_A1876,XM_214061,0.5
Huesken_A1877,XM_214061,0.815
Huesken_A1878,XM_214061,0.776
Huesken_A1879,XM_214061,0.533
Huesken_A1880,XM_214061,0.685
Huesken_A1881,XM_214061,0.871
Huesken_A1882,XM_214061,0.456
Huesken_A1883,XM_214061,0.958
Huesken_A1884,XM_214061,0.669
Huesken_A1885,XM_214061,0.526
Huesken_A1886,XM_214061,0.867
Huesken_A1887,XM_214061,0.681
Huesken_A1888,XM_214061,0.58
Huesken_A1889,XM_214061,0.993
Huesken_A1890,XM_214061,0.722
Huesken_A1891,XM_214061,0.689
Huesken_A1892,XM_214061,0.875
Huesken_A1893,XM_214061,1.0
Huesken_A1894,XM_214061,0.86
Huesken_A1895,XM_214061,0.858
Huesken_A1896,XM_214061,0.872
Huesken_A1897,XM_214061,0.797
Huesken_A1898,XM_214061,0.884
Huesken_A1899,XM_214061,0.787
Huesken_A1900,XM_214061,0.631
Huesken_A1901,XM_214061,0.239
Huesken_A1902,XM_214061,0.656
Huesken_A1903,XM_214061,0.749
Huesken_A1904,XM_214061,0.609
Huesken_A1905,XM_214061,0.732
Huesken_A1906,XM_214061,0.72
Huesken_A1907,XM_214061,0.915
Huesken_A1908,XM_214061,0.829
Huesken_A1909,XM_214061,0.81
Huesken_A1910,XM_214061,0.553
Huesken_A1911,XM_214061,0.779
Huesken_A1912,XM_214061,0.395
Huesken_A1913,XM_214061,0.353
Huesken_A1914,XM_214061,0.599
Huesken_A1915,XM_214061,0.691
Huesken_A1916,XM_214061,0.764
Huesken_A1917,XM_214061,0.655
Huesken_A1918,XM_214061,0.428
Huesken_A1919,XM_214061,0.676
Huesken_A1920,XM_214061,0.648
Huesken_A1921,XM_214061,0.615
Huesken_A1922,XM_214061,0.948
Huesken_A1923,XM_214061,0.843
Huesken_A1924,NM_017346,0.395
Huesken_A1925,NM_017346,0.753
Huesken_A1926,NM_017346,0.542
Huesken_A1927,NM_017346,0.796
Huesken_A1928,NM_017346,0.524
Huesken_A1929,NM_017346,0.467
Huesken_A1930,NM_017346,0.488
Huesken_A1931,NM_017346,0.549
Huesken_A1932,NM_017346,0.44
Huesken_A1933,NM_017346,0.576
Huesken_A1934,NM_017346,0.707
Huesken_A1935,NM_017346,0.316
Huesken_A1936,NM_017346,0.192
Huesken_A1937,NM_017346,0.49
Huesken_A1938,NM_017346,0.815
Huesken_A1939,NM_017346,0.609
Huesken_A1940,NM_017346,0.5
Huesken_A1941,NM_017346,0.802
Huesken_A1942,NM_017346,0.736
Huesken_A1943,NM_017346,0.561
Huesken_A1944,NM_017346,0.849
Huesken_A1945,NM_017346,0.591
Huesken_A1946,NM_017346,0.348
Huesken_A1947,NM_017346,0.152
Huesken_A1948,NM_017346,0.634
Huesken_A1949,NM_017346,0.712
Huesken_A1950,NM_017346,0.399
Huesken_A1951,NM_017346,0.821
Huesken_A1952,NM_017346,0.462
Huesken_A1953,NM_017346,0.541
Huesken_A1954,NM_017346,0.395
Huesken_A1955,NM_017346,0.164
Huesken_A1956,NM_017346,0.737
Huesken_A1957,NM_017346,0.407
Huesken_A1958,NM_017346,0.94
Huesken_A1959,NM_017346,0.632
Huesken_A1960,NM_017346,0.834
Huesken_A1961,NM_017346,0.909
Huesken_A1962,NM_017346,0.637
Huesken_A1963,NM_017346,0.768
Huesken_A1964,NM_017346,0.77
Huesken_A1965,NM_017346,0.442
Huesken_A1966,NM_017346,0.794
Huesken_A1967,NM_017346,0.577
Huesken_A1968,NM_017346,0.758
Huesken_A1969,NM_017346,0.715
Huesken_A1970,NM_012864,0.987
Huesken_A1971,NM_012864,1.0
Huesken_A1972,NM_012864,0.929
Huesken_A1973,NM_012864,0.925
Huesken_A1974,NM_012864,0.547
Huesken_A1975,NM_012864,1.0
Huesken_A1976,NM_012864,1.0
Huesken_A1977,NM_012864,1.0
Huesken_A1978,NM_012864,1.0
Huesken_A1979,NM_012864,0.552
Huesken_A1980,NM_012864,1.0
Huesken_A1981,NM_012864,1.0
Huesken_A1982,NM_012864,0.996
Huesken_A1983,NM_012864,0.814
Huesken_A1984,NM_012864,0.738
Huesken_A1985,NM_012864,0.876
Huesken_A1986,NM_012864,0.731
Huesken_A1987,NM_012864,0.618
Huesken_A1988,NM_012864,0.633
Huesken_A1989,NM_012864,0.414
Huesken_A1990,NM_012864,0.622
Huesken_A1991,NM_012864,1.0
Huesken_A1992,NM_012864,0.376
Huesken_A1993,NM_012864,0.536
Huesken_A1994,NM_012864,0.337
Huesken_A1995,NM_012864,0.911
Huesken_A1996,NM_012864,0.731
Huesken_A1997,NM_012864,0.704
Huesken_A1998,NM_012864,0.894
Huesken_A1999,NM_012864,0.946
Huesken_A2000,NM_012864,0.698
Huesken_A2001,NM_012864,0.657
Huesken_A2002,NM_012864,0.618
Huesken_A2003,NM_012864,0.811
Huesken_A2004,NM_012864,0.525
Huesken_A2005,NM_012864,0.465
Huesken_A2006,NM_012864,0.326
Huesken_A2007,NM_012864,0.905
Huesken_A2008,NM_012864,0.631
Huesken_A2009,NM_012864,0.419
Huesken_A2010,NM_012864,0.874
Huesken_A2011,NM_012864,0.758
Huesken_A2012,NM_012864,1.0
Huesken_A2013,NM_012864,1.0
Huesken_A2014,NM_012864,1.0
Huesken_A2015,NM_012864,0.721
Huesken_A2016,NM_012864,0.902
Huesken_A2017,NM_012864,0.685
Huesken_A2018,NM_012864,0.361
Huesken_A2019,NM_012864,0.508
Huesken_A2020,NM_012864,0.11
Huesken_A2021,NM_012864,0.326
Huesken_A2022,NM_012864,0.591
Huesken_A2023,NM_012864,1.0
Huesken_A2024,NM_012864,0.537
Huesken_A2025,NM_012864,0.897
Huesken_A2026,NM_012864,0.338
Huesken_A2027,NM_012864,0.545
Huesken_A2028,NM_012864,0.835
Huesken_A2029,NM_012864,0.105
Huesken_A2030,NM_012864,0.85
Huesken_A2031,NM_012864,0.002
Huesken_A2032,NM_012864,0.942
Huesken_A2033,NM_012864,1.0
Huesken_A2034,NM_012864,0.905
Huesken_A2035,NM_012864,0.973
Huesken_A2036,NM_012864,0.268
Huesken_A2037,NM_012864,1.0
Huesken_A2038,NM_012864,0.631
Huesken_A2039,NM_012864,0.755
Huesken_A2040,NM_012864,0.994
Huesken_A2041,NM_012864,1.0
Huesken_A2042,NM_012864,0.959
Huesken_A2043,NM_012864,0.408
Huesken_A2044,NM_012864,0.967
Huesken_A2045,NM_012864,1.0
Huesken_A2046,NM_012864,0.657
Huesken_A2047,NM_012864,0.812
Huesken_A2048,NM_012864,1.0
Huesken_A2049,NM_012864,1.0
Huesken_A2050,NM_012864,0.943
Huesken_A2051,NM_012864,0.729
Huesken_A2052,NM_012864,1.0
Huesken_A2053,NM_012864,0.802
Huesken_A2054,NM_012864,1.0
Huesken_A2055,NM_012864,1.0
Huesken_A2056,NM_012864,1.0
Huesken_A2057,NM_012864,1.0
Huesken_A2058,NM_012864,0.913
Huesken_A2059,NM_012864,0.939
Huesken_A2060,NM_012864,0.856
Huesken_A2061,NM_012864,0.607
Huesken_A2062,NM_012864,0.475
Huesken_A2063,NM_012864,0.94
Huesken_A2064,NM_012864,0.613
Huesken_A2065,NM_012864,0.861
Huesken_A2066,NM_012864,0.975
Huesken_A2067,NM_012864,1.0
Huesken_A2068,NM_012864,1.0
Huesken_A2069,NM_012864,0.887
Huesken_A2070,NM_012864,0.019
Huesken_A2071,NM_012864,1.0
Huesken_A2072,NM_012864,0.538
Huesken_A2073,NM_012864,0.018
Huesken_A2074,NM_012864,0.975
Huesken_A2075,NM_012864,1.0
Huesken_A2076,NM_012864,0.834
Huesken_A2077,NM_012864,1.0
Huesken_A2078,NM_012864,0.83
Huesken_A2079,NM_012864,0.323
Huesken_A2080,NM_012864,1.0
Huesken_A2081,NM_012864,1.0
Huesken_A2082,NM_012864,0.223
Huesken_A2083,NM_012864,0.382
Huesken_A2084,NM_012864,0.871
Huesken_A2085,NM_012864,0.457
Huesken_A2086,NM_012864,0.957
Huesken_A2087,NM_012864,1.0
Huesken_A2088,NM_012864,1.0
Huesken_A2089,NM_012864,1.0
Huesken_A2090,NM_012864,1.0
Huesken_A2091,NM_012864,1.0
Huesken_A2092,NM_012864,1.0
Huesken_A2093,NM_012864,0.761
Huesken_A2094,NM_012864,0.744
Huesken_A2095,NM_012864,1.0
Huesken_A2096,NM_012864,0.862
Huesken_A2097,NM_012864,0.796
Huesken_A2098,NM_012864,0.284
Huesken_A2099,NM_012864,1.0
Huesken_A2100,NM_012864,1.0
Huesken_A2101,NM_012864,1.0
Huesken_A2102,NM_012864,0.66
Huesken_A2103,NM_012864,0.756
Huesken_A2104,NM_012864,1.0
Huesken_A2105,NM_012864,0.936
Huesken_A2106,NM_012864,0.468
Huesken_A2107,NM_012864,0.911
Huesken_A2108,NM_012864,0.916
Huesken_A2109,NM_012864,0.797
Huesken_A2110,NM_012864,0.405
Huesken_A2111,NM_012864,0.329
Huesken_A2112,NM_012864,0.944
Huesken_A2113,NM_012864,0.83
Huesken_A2114,NM_012864,0.722
Huesken_A2115,NM_012864,0.642
Huesken_A2116,NM_012864,0.66
Huesken_A2117,NM_012864,0.679
Huesken_A2118,NM_012864,0.936
Huesken_A2119,NM_012864,0.643
Huesken_A2120,NM_025237,0.507
Huesken_A2121,NM_025237,0.538
Huesken_A2122,NM_025237,0.587
Huesken_A2123,NM_025237,0.613
Huesken_A2124,NM_025237,0.626
Huesken_A2125,NM_025237,0.647
Huesken_A2126,NM_025237,0.75
Huesken_A2127,NM_025237,0.618
Huesken_A2128,NM_025237,0.808
Huesken_A2129,NM_025237,0.662
Huesken_A2130,NM_025237,0.688
Huesken_A2131,NM_025237,0.525
Huesken_A2132,NM_025237,0.712
Huesken_A2133,NM_025237,0.413
Huesken_A2134,NM_025237,0.606
Huesken_A2135,NM_025237,0.571
Huesken_A2136,NM_025237,0.26
Huesken_A2137,NM_025237,0.652
Huesken_A2138,NM_025237,0.358
Huesken_A2139,NM_025237,0.629
Huesken_A2140,NM_025237,0.66
Huesken_A2141,NM_025237,0.505
Huesken_A2142,NM_025237,0.518
Huesken_A2143,NM_025237,0.66
Huesken_A2144,NM_025237,0.789
Huesken_A2145,NM_025237,0.645
Huesken_A2146,NM_025237,0.66
Huesken_A2147,NM_025237,0.643
Huesken_A2148,NM_025237,0.646
Huesken_A2149,NM_025237,0.846
Huesken_A2150,NM_025237,0.521
Huesken_A2151,NM_025237,0.53
Huesken_A2152,NM_025237,0.522
Huesken_A2153,NM_025237,0.591
Huesken_A2154,NM_025237,0.505
Huesken_A2155,NM_025237,0.513
Huesken_A2156,NM_025237,0.496
Huesken_A2157,NM_025237,0.505
Huesken_A2158,NM_025237,0.51
Huesken_A2159,NM_025237,0.543
Huesken_A2160,NM_025237,0.647
Huesken_A2161,NM_025237,0.776
Huesken_A2162,NM_025237,0.575
Huesken_A2163,NM_025237,0.594
Huesken_A2164,NM_025237,0.754
Huesken_A2165,NM_025237,0.548
Huesken_A2166,NM_025237,0.668
Huesken_A2167,NM_025237,0.548
Huesken_A2168,NM_025237,0.749
Huesken_A2169,NM_025237,0.758
Huesken_A2170,NM_025237,0.871
Huesken_A2171,NM_025237,0.722
Huesken_A2172,NM_025237,0.643
Huesken_A2173,NM_025237,0.526
Huesken_A2174,NM_025237,0.695
Huesken_A2175,NM_025237,0.788
Huesken_A2176,NM_025237,0.697
Huesken_A2177,NM_025237,0.522
Huesken_A2178,NM_025237,0.833
Huesken_A2179,NM_025237,0.867
Huesken_A2180,NM_025237,0.688
Huesken_A2181,NM_025237,0.444
Huesken_A2182,NM_025237,0.509
Huesken_A2183,NM_025237,0.498
Huesken_A2184,NM_025237,0.687
Huesken_A2185,NM_025237,0.934
Huesken_A2186,NM_025237,0.824
Huesken_A2187,NM_025237,0.487
Huesken_A2188,NM_025237,0.777
Huesken_A2189,NM_025237,0.711
Huesken_A2190,NM_025237,0.528
Huesken_A2191,NM_025237,0.72
Huesken_A2192,NM_025237,0.635
Huesken_A2193,NM_025237,0.607
Huesken_A2194,NM_025237,0.552
Huesken_A2195,NM_005450,0.805
Huesken_A2196,NM_005450,0.701
Huesken_A2197,NM_005450,0.563
Huesken_A2198,NM_005450,0.557
Huesken_A2199,NM_005450,0.661
Huesken_A2200,NM_005450,0.754
Huesken_A2201,NM_005450,0.862
Huesken_A2202,NM_005450,0.791
Huesken_A2203,NM_005450,0.757
Huesken_A2204,NM_005450,0.51
Huesken_A2205,NM_005450,0.847
Huesken_A2206,NM_005450,0.565
Huesken_A2207,NM_005450,0.631
Huesken_A2208,NM_005450,0.464
Huesken_A2209,NM_005450,0.771
Huesken_A2210,NM_005450,0.511
Huesken_A2211,NM_005450,0.591
Huesken_A2212,NM_005450,0.515
Huesken_A2213,NM_005450,0.518
Huesken_A2214,NM_005450,0.852
Huesken_A2215,NM_005450,0.603
Huesken_A2216,NM_005450,0.61
Huesken_A2217,NM_005450,0.51
Huesken_A2218,NM_005450,0.6
Huesken_A2219,NM_005450,0.53
Huesken_A2220,NM_005450,0.476
Huesken_A2221,NM_005450,0.405
Huesken_A2222,NM_005450,0.575
Huesken_A2223,NM_005450,0.833
Huesken_A2224,NM_005450,0.817
Huesken_A2225,NM_005450,1.0
Huesken_A2226,NM_005450,0.977
Huesken_A2227,NM_005450,0.857
Huesken_A2228,NM_005450,0.626
Huesken_A2229,NM_005450,0.83
Huesken_A2230,NM_005450,0.913
Huesken_A2231,NM_005450,0.933
Huesken_A2232,NM_005450,0.411
Huesken_A2233,NM_005450,0.551
Huesken_A2234,NM_005450,0.783
Huesken_A2235,NM_005450,0.967
Huesken_A2236,NM_005450,0.705
Huesken_A2237,NM_005450,0.783
Huesken_A2238,NM_005450,0.552
Huesken_A2239,NM_005450,0.718
Huesken_A2240,NM_005450,0.587
Huesken_A2241,NM_005450,0.646
Huesken_A2242,NM_005450,0.826
Huesken_A2243,NM_005450,0.671
Huesken_A2244,NM_005450,0.788
Huesken_A2245,NM_005450,0.734
Huesken_A2246,NM_005450,0.709
Huesken_A2247,NM_005450,0.741
Huesken_A2248,NM_005450,0.469
Huesken_A2249,NM_005450,0.951
Huesken_A2250,NM_005450,0.891
Huesken_A2251,NM_005450,0.888
Huesken_A2252,NM_005450,0.678
Huesken_A2253,NM_005450,0.793
Huesken_A2254,NM_005450,1.0
Huesken_A2255,NM_005450,0.964
Huesken_A2256,NM_005450,0.817
Huesken_A2257,NM_005450,0.681
Huesken_A2258,NM_005450,0.884
